RA,Dec,U_MAG_COG,R_MAG_COG,U_MAGERR_COG,R_MAGERR_COG,U_MAG_APAUTO,R_MAG_APAUTO,U_MAGERR_APAUTO,R_MAGERR_APAUTO,U_IQ,R_IQ,R_A_WORLD,R_B_WORLD,R_THETA_J2000,R_ISOAREA_IMAGE,R_MU_MAX,R_FLUX_RADIUS,U_FLAGS,R_FLAGS,R_MAG_2ARC,R_MAGERR_2ARC,U_MAGLIM_2ARC,R_MAGLIM_2ARC,U_MAGLIM_APAUTO,R_MAGLIM_APAUTO,U_MAGLIM_COG,R_MAGLIM_COG,R_MAG_APER_5,R_MAG_APER_10,R_MAG_APER_15,R_MAG_APER_20,g_wrp_kron,r_wrp_kron,i_wrp_kron,y_wrp_kron,z_wrp_kron,g_wrp_kron_err,r_wrp_kron_err,i_wrp_kron_err,y_wrp_kron_err,z_wrp_kron_err,g_wrp_psf,r_wrp_psf,i_wrp_psf,y_wrp_psf,z_wrp_psf,g_wrp_psf_err,r_wrp_psf_err,i_wrp_psf_err,y_wrp_psf_err,z_wrp_psf_err,GC_Prob
190.1801696,32.9315551,22.15723362,20.70947106,0.017,0.003,22.14323362,20.71647106,0.061,0.01,0.7923,0.6794,0.000120883,0.000118223,-73.6,144,20.175,2.126,0,0,20.81047106,0.007,24.376,24.611,23.451,23.97,24.61,25.016,21.27287106,20.82427106,20.71397106,20.69007106,21.1257059,20.91597806,20.77477852,20.5415786,20.29311617,0.042702284,0.04036452,0.03397226,0.16307351,0.06997664,21.0933769,20.75983106,20.58823752,20.5044826,20.55208017,0.011036897,0.023633933,0.027645636,0.075557955,0.06089799,0.003622489
190.2341332,32.9559498,21.55632058,19.95643985,0.01,0.001,21.50232058,19.95843985,0.035,0.004,0.7923,0.6205,0.000119736,0.000117728,84.39,194,19.3134,1.927,0,0,20.02543985,0.003,24.376,24.884,23.451,24.364,24.61,25.548,20.41813985,20.03583985,19.94563985,19.93463985,20.59501626,20.14846185,19.96000912,19.71918091,19.93496818,0.03736059,0.032022852,0.027256742,0.07419819,0.07087661,20.42906426,20.00963985,19.83272312,19.67044291,19.73915918,0.012106764,0.014066744,0.023373086,0.05278406,0.031745363,0.031284785
190.3769503,32.8034123,23.94458433,22.0181916,0.078,0.007,24.05258433,22.0041916,0.32,0.02,0.8019,0.632,0.000110694,0.000104189,-67.42,91,21.4332,2.012,0,0,22.1001916,0.014,24.49,25.085,23.641,24.527,24.969,25.659,22.5187916,22.1150916,21.9868916,21.9210916,22.59912485,22.2474366,22.32238324,21.17615511,21.74329429,0.1830738,0.22629473,0.1731784,0.26070172,0.13426973,22.74719585,22.0937696,21.87711924,21.33791111,21.68641529,0.13002068,0.08868868,0.037089776,0.22342531,0.10437549,0.086204601
190.3293942,32.8354175,22.18256794,20.75464372,0.016,0.002,22.17756794,20.75964372,0.056,0.007,0.8019,0.632,0.00011904,0.00011431,-38.22,148,20.217,2.045,0,0,20.83264372,0.005,24.49,25.085,23.641,24.527,24.969,25.659,21.27284372,20.84374372,20.74924372,20.71784372,21.38988488,20.89338272,20.80937268,20.2608886,20.70691046,0.077338,0.047441524,0.059777692,0.22465196,0.079557024,21.15341188,20.81698372,20.58522068,20.3597416,20.57537946,0.025202468,0.016059613,0.02672504,0.10116047,0.04051802,0.016495966
190.3015283,32.8520282,22.86358225,21.16326856,0.028,0.005,22.87058225,21.16126856,0.104,0.013,0.8019,0.576,0.000109299,0.000105542,27.16,104,20.5101,1.906,0,2,21.22126856,0.009,24.49,24.678,23.641,24.26,24.969,25.404,21.60216856,21.23036856,21.13636856,21.11366856,21.62860161,21.29249356,21.02246234,21.15337031,20.98316656,0.109778814,0.07697826,0.05058654,0.31912935,0.1215378,21.65562661,21.20120856,20.91833434,20.99595731,20.84430956,0.051656246,0.028799139,0.025504991,0.13341445,0.06849475,0.460160444
190.40665,32.8613986,24.4348475,22.65179441,0.119,0.017,24.8118475,22.65279441,0.629,0.049,0.8019,0.576,0.000110329,0.000102153,26.7,67,22.1516,2.149,0,0,22.70079441,0.035,24.49,24.678,23.641,24.26,24.969,25.404,23.24149441,22.71729441,22.62469441,22.59349441,22.93352071,23.03291641,21.99139008,20.40460743,21.59023575,0.17030637,0.26168093,0.20021349,0.23645185,0.37718293,23.03603571,22.60378241,22.40057608,21.59294843,21.90992375,0.09083478,0.10712812,0.18624316,0.23498917,0.13552564,0.143752309
190.3742994,32.878433,23.96016779,22.57442802,0.077,0.013,23.66416779,22.58842802,0.218,0.041,0.8019,0.6205,0.000100327,9.46E-05,-86.94,61,21.8798,1.947,0,0,22.64142802,0.027,24.49,24.884,23.641,24.364,24.969,25.548,23.05942802,22.65142802,22.58752802,22.64632802,22.86605109,22.42614502,23.97158825,21.23909322,22.34019323,0.25883466,0.1773211,2.2879858,0.59762424,0.43075767,23.07349409,22.35125302,22.39732425,21.55301422,22.25339123,0.14369346,0.13039534,0.062063366,0.21665858,0.33169058,2.33E-05
190.4200756,32.8809841,22.61794273,20.80692383,0.025,0.003,22.56494273,20.79492383,0.094,0.008,0.8019,0.6141,0.000114958,0.000113204,-69.3,136,20.1099,1.953,3,3,20.87592383,0.006,24.49,24.96,23.641,24.452,24.969,25.656,21.27552383,20.88952383,20.77662383,20.67812383,21.4622683,20.76053083,20.43990951,20.59726028,20.62051902,0.066482864,0.030090671,0.056367002,0.19895312,0.08896364,21.4179053,20.85358383,20.60310751,20.55387528,20.47708602,0.039531343,0.031075215,0.019040901,0.064331375,0.048699237,0.33034194
190.3754743,32.9528622,22.83342521,21.37926199,0.026,0.005,22.90242521,21.38726199,0.1,0.015,0.8019,0.6205,0.00010564,0.000103671,87.42,91,20.6661,1.892,0,0,21.45026199,0.01,24.49,24.884,23.641,24.364,24.969,25.548,21.82946199,21.45816199,21.37886199,21.33006199,22.10137963,21.43764199,21.52424157,20.85518224,21.69967967,0.19757894,0.06534181,0.08903622,0.20430808,0.09301567,21.80449663,21.38270699,21.33410857,20.88995324,21.26002967,0.07007281,0.048465632,0.04210988,0.10008677,0.07268197,0.000766883
190.4671748,33.0284588,22.78882177,21.23324905,0.025,0.005,22.85882177,21.22524905,0.099,0.014,0.8019,0.6106,0.000111613,0.000109709,-43.74,108,20.6617,2.012,0,0,21.29224905,0.011,24.49,24.77,23.641,24.278,24.969,25.446,21.72354905,21.30204905,21.20504905,21.15394905,21.59514799,21.57624905,21.25730972,20.62962025,21.29294146,0.07510729,0.10736315,0.07672246,0.1989984,0.0839608,21.70983799,21.27930005,21.13303272,20.81553725,21.19554446,0.057518046,0.048429303,0.021353092,0.097059295,0.056842778,0.073098285
190.0000954,32.8050688,24.01805275,22.63599069,0.083,0.014,24.29805275,22.64599069,0.396,0.042,0.8029,0.6221,9.72E-05,9.39E-05,-13.13,57,22.0069,1.931,0,0,22.70599069,0.028,24.373,24.882,23.59,24.369,24.662,25.539,23.10109069,22.71979069,22.62919069,22.76249069,22.99131854,23.02156469,22.52255029,20.13515786,21.67147712,0.19282456,0.19152412,0.19638361,0.42001644,0.23767771,23.23468854,22.79667469,22.45118729,21.34091486,22.29741212,0.080203176,0.098391324,0.08569789,0.2624401,0.20406637,0.137564872
190.0196256,32.826793,23.7264256,21.88219167,0.077,0.009,23.7824256,21.86519167,0.299,0.025,0.7968,0.6221,0.000111962,0.000103509,-35.53,82,21.4458,2.088,0,0,21.95619167,0.02,24.171,24.882,23.246,24.369,24.309,25.539,22.43069167,21.96819167,21.86479167,21.80949167,22.95869207,22.28754267,21.82432952,20.35778932,22.04465421,0.17508258,0.1806599,0.095334254,0.19483934,0.36829594,22.52778007,21.95455067,21.69131852,21.04966932,21.63163121,0.10372869,0.0845942,0.070940286,0.07584006,0.120253116,0.358419375
190.150371,32.7515337,23.72879085,22.18108377,0.051,0.009,23.65979085,22.18508377,0.175,0.026,0.7843,0.6198,0.000107141,0.000100802,-75.93,75,21.49,1.935,0,0,22.24908377,0.018,24.667,24.942,23.742,24.441,24.857,25.635,22.65438377,22.25848377,22.17398377,22.07308377,22.63632363,22.63736377,22.1063391,,22.05140277,0.18956134,0.12216802,0.14294091,-10.809758,0.09845675,22.79252963,22.38568277,22.0905771,21.38896367,21.99683377,0.0881197,0.06979279,0.09420452,0.2515679,0.13119088,0.302240057
190.0206632,32.7655524,22.97847485,21.29675726,0.025,0.004,23.02247485,21.27075726,0.096,0.012,0.7843,0.6198,0.000116314,0.000113807,-62.88,123,20.6425,1.956,0,3,21.37175726,0.008,24.667,24.942,23.742,24.441,24.857,25.635,21.76585726,21.38375726,21.24805726,21.20605726,21.77802963,21.58240326,21.06106735,20.23609516,21.27787883,0.07578682,0.075225316,0.06604475,0.21177407,0.22965811,21.81181263,21.36390326,21.11719735,20.80317816,21.09169183,0.038892325,0.053772826,0.03782829,0.12230708,0.07657909,0.552835437
190.0122445,32.7935361,22.45968043,20.83632903,0.018,0.002,22.47868043,20.83532903,0.065,0.007,0.7946,0.6349,0.000123479,0.00011167,-75.47,153,20.1998,1.964,0,0,20.91732903,0.005,24.538,25.045,23.613,24.404,24.728,25.465,21.32582903,20.92802903,20.82282903,20.79592903,21.45868262,20.91800803,20.95712868,20.88818189,20.71649813,0.085299365,0.05261864,0.059635706,0.23821342,0.07387673,21.37174762,20.88145503,20.70627168,20.54221989,20.70044813,0.052875936,0.038514458,0.024561426,0.105156176,0.0369507,0.295195903
190.2751569,32.7794961,21.33675676,20.00059688,0.007,0.001,21.34675676,20.01059688,0.025,0.003,0.7626,0.6525,0.000124487,0.000120025,66.84,210,19.4502,2.001,0,0,20.08659688,0.002,24.544,25.204,23.619,24.563,24.734,25.609,20.52249688,20.09789688,20.00029688,19.97349688,20.65289975,20.15978588,20.03698613,19.87713169,20.06583024,0.042030524,0.02437814,0.020037066,0.12805614,0.058834087,20.44067875,20.02380888,19.92183513,19.84911269,19.86398524,0.021552183,0.014201316,0.015283627,0.03207357,0.022209352,0.001696914
190.3342978,32.9475364,22.68200199,21.1505729,0.025,0.004,22.65600199,21.1055729,0.093,0.012,0.8211,0.6205,0.000131357,0.000122651,75.05,154,20.752,2.29,0,0,21.2295729,0.009,24.372,24.884,23.447,24.364,24.562,25.548,21.7533729,21.2488729,21.0706729,21.0681729,21.98640206,21.1682409,20.73552896,21.30194438,21.00846152,0.10122754,0.061593693,0.09596665,0.30208638,0.12094297,21.75219206,21.2252689,21.01275096,20.93749138,20.90833152,0.042467933,0.031942435,0.059676867,0.11352289,0.04952839,0.462108574
190.3364872,32.9872513,23.30773288,21.22596689,0.045,0.004,23.15873288,21.21896689,0.146,0.012,0.8211,0.6205,0.000115678,0.000110253,-35.87,122,20.492,1.942,0,0,21.29696689,0.008,24.372,24.884,23.447,24.364,24.562,25.548,21.68886689,21.30876689,21.19896689,21.18196689,21.99955156,21.28820989,21.0945919,21.08372456,21.39503829,0.046723317,0.057152946,0.09320187,0.21010329,0.10155893,21.86500156,21.20344589,20.9656089,20.81605056,21.01961429,0.042164378,0.033742443,0.03812056,0.090794414,0.06116077,0.022636373
189.8858117,32.3874387,24.49324978,22.68063594,0.107,0.016,24.90324978,22.64963594,0.547,0.048,0.7366,0.6694,0.000108474,0.00010401,-89.51,69,22.253,2.302,0,0,22.78263594,0.034,24.567,24.952,23.735,24.363,24.907,25.573,23.28893594,22.80383594,22.61943594,22.52003594,21.96542626,22.45146794,22.0606503,20.64857014,22.51831777,0.13940522,0.23390085,0.07777775,0.36308745,0.34257162,23.36382226,22.49003094,22.2867213,21.21631414,22.05889377,0.13296755,0.09608094,0.06098703,0.16411252,0.17528859,1.77E-06
